"","GMYC_spec","sample_name"
"1",1,"ACD_1030_Cavite_Luzon_PH"
"2",1,"KU_305473_Camarines_Norte_Luzon_PH"
"3",1,"KU_326254_Burdeos_Polillo_PH"
"4",2,"KU_323046_Aurora_Luzon_PH"
"5",2,"KU_330734_Laguna_Luzon_PH"
"6",2,"KU_328930_Bulacan_Luzon_PH"
"7",2,"RMB_4173_Zambales_Luzon_PH"
"8",3,"TNHC_62724_Albay_Luzon_PH"
"9",3,"TNHC_62726_Camarines_Sur_Luzon_PH"
"10",4,"KU_302489_Victoria_Mindoro_PH"
"11",4,"KU_303771_Bongabong_Mindoro_PH"
"12",5,"KU_309860_Mambajao_Camiguin_PH"
"13",5,"KU_309862_Mambajao_Camiguin_PH"
"14",6,"KU_324433_Bilar_Bohol_PH"
"15",6,"KU_324438_Sierra_Bullones_Bohol_PH"
"16",6,"KU_326249_Antequera_Bohol_PH"
"17",7,"KU_311125_Baybay_Leyte_PH"
"18",7,"ACD_7229_Sogod_Leyte_PH"
"19",7,"KU_305471_Baybay_Leyte_PH"
"20",8,"ACD_6339_Burgos_Siargao_PH"
"21",8,"RMB_16896_Misamis_Oriental_Mindanao_PH"
"22",9,"KU_327279_Palawan_PH"
"23",9,"KU_309403_Palawan_PH"
"24",9,"TNHC_57937_Palawan_PH"
"25",10,"KU_327277_Palawan_PH"
"26",10,"KU_311390_Palawan_PH"
"27",10,"KU_311398_Palawan_PH"
"28",11,"B_cristatella_MVZ_253995_Java_ID"
"29",11,"B_cristatella_RMB_18356_Java_ID"
"30",12,"B_cristatella_LSUHC_10647_Peneang_Hill_MY"
"31",12,"B_cristatella_LSUHC_11804_Pulau_Pinang_MY"
"32",13,"B_cristatella_TNHC_57874_Selangor_MY"
"33",13,"B_cristatella_LSUHC_5097_Genting_Highlands_MY"
"34",13,"B_cristatella_LSUHC_6661_Ampang_MY"
"35",14,"B_cristatella_LSUHC_3889_Pulau_Tulai_MY"
"36",14,"B_cristatella_LSUHC_4613_Pulau_Tioman_MY"
"37",15,"B_shenlong_LSUHC_12104_Cameron_Highlands_MY"
"38",15,"B_shenlong_LSUHC_12105_Cameron_Highlands_MY"
"39",16,"B_celebensis_MVZ_253994_Central_Sulawesi_ID"
"40",16,"B_celebensis_MVZ_253957_North_Sulawesi_ID"
"41",16,"B_celebensis_MVZ_253958_North_Sulawesi_ID"
"42",17,"KU_330106_Cagayan_Luzon_PH"
"43",17,"KU_305476_Kalinga_Luzon_PH"
"44",17,"KU_329535_Ilocos_Norte_Luzon_PH"
"45",18,"RMB_4191_Nueva_Vizcaya_Luzon_PH"
"46",18,"RMB_4204_Callao_Caves_Luzon_PH"
"47",19,"TNHC_57934_Davao_Mindanao_PH"
"48",19,"ACD_5650_Cotabato_Mindanao_PH"
"49",19,"KU_327282_South_Cotabato_Mindanao_PH"
"50",20,"PNM_1182_Davao_Mindanao_PH"
"51",20,"RMB_3792_Davao_Mindanao_PH"
"52",21,"KU_344140_Eastern_Samar_Samar_PH"
"53",21,"CDS_6959_Western_Samar_Samar_PH"
"54",21,"KU_337266_Eastern_Samar_Samar_PH"
"55",21,"KU_336463_Western_Samar_Samar_PH"
"56",21,"KU_344139_Eastern_Samar_Samar_PH"
"57",22,"KU_305477_Western_Samar_Samar_PH"
"58",22,"KU_337267_Eastern_Samar_Samar_PH"
"59",23,"KU_308082_San_Miguel_Catanduanes_PH"
"60",24,"KU_320285_Lubang_Mindoro_PH"
"61",25,"KU_324432_Negros_Occidental_Negros_PH"
"62",26,"RMB_4159_Rizal_Luzon_PH"
"63",27,"KU_326251_Magdiwang_Sibuyan_PH"
"64",28,"KU_347782_Sorsogon_Luzon_PH"
"65",29,"KU_315337_Odiongan_Tablas_PH"
"66",30,"KU_336048_Sablayan_Mindoro_PH"
"67",31,"KU_308407_Paluan_Mindoro_PH"
"68",32,"KU_334603_Zamboanga_Mindanao_PH"
"69",33,"PNM_1701_Sarangani_Mindanao_PH"
"70",34,"KU_334001_Agusan_del_Norte_Mindanao_PH"
"71",35,"KU_310374_Loreto_Dinagat_PH"
"72",36,"KU_334003_Misamis_Oriental_Mindanao_PH"
"73",37,"KU_334004_Misamis_Oriental_Mindanao_PH"
"74",38,"KU_314845_Zamboanga_Mindanao_PH"
"75",39,"B_jubata_MVZ_253998_Java_ID"
"76",40,"B_jubata_RMB_18293_Java_ID"
"77",41,"B_jubata_RMB_18182_Java_ID"
"78",42,"B_cf_intermedia_RMBR_836_Kalimantan_Borneo_ID"
"79",43,"B_burmana_CAS_228481_Tanintharyi_MM"
"80",44,"B_rayaensis_LSUHC_12347_Phuket_TH"
"81",45,"B_hayeki_MVZ_270281_North_Sumatra_ID"
"82",46,"B_cristatella_RMB_18138_Java_ID"
"83",47,"B_cristatella_TNHC_56517_Sarawak_Borneo_MY"
"84",48,"B_shenlong_LSUHC_10271_Bukit_Larut_MY"
"85",49,"Gonocephalus_chamaeleontinus_LSUHC_3788"
"86",50,"Gonocephalus_semperi_KU_303821_Mindoro_PH"
"87",51,"Gonocephalus_semperi_KU_305748_Cebu_PH"
"88",52,"Aphaniotis_fusca_THC_57874"
"89",53,"Ceratophora_stoddartii_WHT_1682"
"90",54,"Cophotis_dumbara_GQ_502785"
